Episode,Experience,State,Action,Reward,Terminated,Truncated,Return
0,0,"[0.9971901774406433, 0.07491123676300049, 0.9994834661483765, -0.03213748708367348, 0.12536130845546722, -0.2318657785654068]",0,-1.0,False,False,-99.343
0,1,"[0.9971301555633545, 0.07570599019527435, 0.9994999170303345, -0.03162219002842903, -0.11719834804534912, 0.23643948137760162]",2,-1.0,False,False,-99.3363
0,2,"[0.9990394115447998, 0.04382045567035675, 0.9997243881225586, 0.02347566746175289, -0.19398340582847595, 0.3000759482383728]",1,-1.0,False,False,-99.3296
0,3,"[0.9998814463615417, 0.015396642498672009, 0.9988729357719421, 0.04746420681476593, -0.08408136665821075, -0.06812772154808044]",0,-1.0,False,False,-99.3228
0,4,"[0.9999343156814575, 0.011462311260402203, 0.9999921321868896, -0.0039678290486335754, 0.043735988438129425, -0.4377179741859436]",0,-1.0,False,False,-99.316
0,5,"[0.9999896287918091, 0.004554286599159241, 0.9986271262168884, -0.05238214135169983, -0.11265482753515244, -0.03988638520240784]",2,-1.0,False,False,-99.3091
0,6,"[0.9999855756759644, -0.0053694602102041245, 0.9960196018218994, -0.08913450688123703, 0.014035806059837341, -0.3233208954334259]",0,-1.0,False,False,-99.3021
0,7,"[0.9998500943183899, -0.017313163727521896, 0.9941022396087646, -0.10844683647155762, -0.13132034242153168, 0.13011541962623596]",2,-1.0,False,False,-99.2951
0,8,"[0.9984627962112427, -0.055426035076379776, 0.9991775751113892, -0.0405476875603199, -0.2401682734489441, 0.5331395268440247]",2,-1.0,False,False,-99.2879
0,9,"[0.9955059885978699, -0.09469856321811676, 0.9982070922851562, 0.05985459312796593, -0.14267945289611816, 0.44810423254966736]",1,-1.0,False,False,-99.2807
0,10,"[0.9954167008399963, -0.09563283622264862, 0.9953603744506836, 0.09621725231409073, 0.13414092361927032, -0.0889076367020607]",0,-1.0,False,False,-99.2735
0,11,"[0.9983877539634705, -0.05676201730966568, 0.9981186985969543, 0.06131112948060036, 0.2466411590576172, -0.24910514056682587]",1,-1.0,False,False,-99.2661
0,12,"[0.9999983906745911, -0.0017994710942730308, 0.9999946355819702, 0.0032802156638354063, 0.290291428565979, -0.3130001127719879]",1,-1.0,False,False,-99.2587
0,13,"[0.9977571964263916, 0.06693711131811142, 0.9959501624107361, -0.08990718424320221, 0.3805088698863983, -0.592836320400238]",0,-1.0,False,False,-99.2512
0,14,"[0.989854097366333, 0.14208771288394928, 0.9757656455039978, -0.21881821751594543, 0.355884313583374, -0.678618311882019]",0,-1.0,False,False,-99.2437
0,15,"[0.9822340607643127, 0.18766003847122192, 0.9511163234710693, -0.30883288383483887, 0.09503545612096786, -0.23436211049556732]",1,-1.0,False,False,-99.236
0,16,"[0.9840999245643616, 0.17761558294296265, 0.9522505402565002, -0.3053176701068878, -0.1947127878665924, 0.26871880888938904]",1,-1.0,False,False,-99.2283
0,17,"[0.9948622584342957, 0.10123787075281143, 0.984195351600647, -0.17708629369735718, -0.5579936504364014, 1.0217349529266357]",2,-1.0,False,False,-99.2205
0,18,"[0.9999772310256958, -0.006752175744622946, 0.9999551177024841, 0.009475154802203178, -0.49555787444114685, 0.8032081723213196]",0,-1.0,False,False,-99.2127
0,19,"[0.9962639212608337, -0.08636094629764557, 0.9921510219573975, 0.12504561245441437, -0.28230807185173035, 0.3243633210659027]",0,-1.0,False,False,-99.2047
0,20,"[0.9901304841041565, -0.1401485949754715, 0.9801693558692932, 0.19816161692142487, -0.24591705203056335, 0.3957659602165222]",2,-1.0,False,False,-99.1967
