Episode,Experience,State,Action,Reward,Terminated,Truncated,Return
0,0,"[0.02727336250245571, -0.20172953605651855, 0.036254528909921646, 0.32351475954055786]",0,1.0,False,False,19.0272
0,1,"[0.02323877066373825, -0.39734846353530884, 0.04272482171654701, 0.6274068355560303]",0,1.0,False,False,18.2093
0,2,"[0.015291801653802395, -0.20284806191921234, 0.05527295917272568, 0.3484797477722168]",1,1.0,False,False,17.3831
0,3,"[0.011234840378165245, -0.39871081709861755, 0.06224255636334419, 0.6580671668052673]",0,1.0,False,False,16.5486
0,4,"[0.003260623896494508, -0.20450791716575623, 0.07540389895439148, 0.38561439514160156]",1,1.0,False,False,15.7057
0,5,"[-0.0008295343141071498, -0.01053288672119379, 0.08311618864536285, 0.11762639135122299]",1,1.0,False,False,14.8542
0,6,"[-0.001040192088112235, 0.18330590426921844, 0.08546871691942215, -0.14772000908851624]",1,1.0,False,False,13.9942
0,7,"[0.0026259259320795536, 0.37710654735565186, 0.08251431584358215, -0.4122626483440399]",1,1.0,False,False,13.1254
0,8,"[0.010168056935071945, 0.5709677934646606, 0.07426906377077103, -0.6778334379196167]",1,1.0,False,False,12.2479
0,9,"[0.021587412804365158, 0.3748968839645386, 0.06071239337325096, -0.362722784280777]",0,1.0,False,False,11.3615
0,10,"[0.029085351154208183, 0.5691057443618774, 0.05345793813467026, -0.6356608867645264]",1,1.0,False,False,10.4662
0,11,"[0.04046746343374252, 0.7634429335594177, 0.04074471816420555, -0.9110410809516907]",1,1.0,False,False,9.5618
0,12,"[0.055736325681209564, 0.9579905867576599, 0.022523896768689156, -1.1906447410583496]",1,1.0,False,False,8.6483
0,13,"[0.07489613443613052, 1.1528135538101196, -0.0012889968929812312, -1.476183533668518]",1,1.0,False,False,7.7255
0,14,"[0.09795240312814713, 1.3479511737823486, -0.030812667682766914, -1.7692687511444092]",1,1.0,False,False,6.7935
0,15,"[0.12491142749786377, 1.5434070825576782, -0.06619804352521896, -2.071371078491211]",1,1.0,False,False,5.852
0,16,"[0.15577957034111023, 1.3490171432495117, -0.10762546211481094, -1.799872636795044]",0,1.0,False,False,4.901
0,17,"[0.18275991082191467, 1.155250906944275, -0.14362291991710663, -1.5424858331680298]",0,1.0,False,False,3.9404
0,18,"[0.20586493611335754, 0.9621177315711975, -0.1744726300239563, -1.2978490591049194]",0,1.0,False,False,2.9701
0,19,"[0.22510728240013123, 0.7695867419242859, -0.20042961835861206, -1.0644720792770386]",0,1.0,False,False,1.99
0,20,"[0.24049901962280273, 0.5775995850563049, -0.22171905636787415, -0.8407889604568481]",0,1.0,True,False,1.0
1,21,"[-0.03963102027773857, -0.1479242891073227, 0.02668609842658043, 0.32941287755966187]",0,1.0,False,False,19.8369
1,22,"[-0.04258950799703598, 0.04680781066417694, 0.03327435627579689, 0.04526351019740105]",1,1.0,False,False,19.0272
1,23,"[-0.0416533499956131, -0.14877508580684662, 0.034179627895355225, 0.34825631976127625]",0,1.0,False,False,18.2093
1,24,"[-0.04462885111570358, 0.04584447294473648, 0.04114475101232529, 0.06654433906078339]",1,1.0,False,False,17.3831
1,25,"[-0.043711964040994644, -0.14984248578548431, 0.04247564077377319, 0.3719194829463959]",0,1.0,False,False,16.5486
1,26,"[-0.046708811074495316, 0.044651105999946594, 0.049914028495550156, 0.09292633086442947]",1,1.0,False,False,15.7057
1,27,"[-0.045815788209438324, 0.23902341723442078, 0.05177255719900131, -0.18360039591789246]",1,1.0,False,False,14.8542
1,28,"[-0.04103532060980797, 0.043200377374887466, 0.0481005497276783, 0.12495493143796921]",0,1.0,False,False,13.9942
1,29,"[-0.040171314030885696, 0.2376013994216919, 0.05059964582324028, -0.1521732360124588]",1,1.0,False,False,13.1254
1,30,"[-0.0354192852973938, 0.4319636821746826, 0.047556180506944656, -0.428473562002182]",1,1.0,False,False,12.2479
1,31,"[-0.026780011132359505, 0.23620161414146423, 0.03898670896887779, -0.12118620425462723]",0,1.0,False,False,11.3615
1,32,"[-0.022055979818105698, 0.04054341837763786, 0.03656298667192459, 0.18353727459907532]",0,1.0,False,False,10.4662
1,33,"[-0.021245110780000687, -0.155082106590271, 0.040233731269836426, 0.4875265657901764]",0,1.0,False,False,9.5618
1,34,"[-0.02434675395488739, 0.03944975882768631, 0.04998426511883736, 0.20779043436050415]",1,1.0,False,False,8.6483
1,35,"[-0.0235577579587698, -0.15634997189044952, 0.05414007231593132, 0.5158124566078186]",0,1.0,False,False,7.7255
1,36,"[-0.026684757322072983, -0.35219085216522217, 0.06445632129907608, 0.825052797794342]",0,1.0,False,False,6.7935
1,37,"[-0.033728573471307755, -0.5481323599815369, 0.08095737546682358, 1.1372917890548706]",0,1.0,False,False,5.852
1,38,"[-0.04469122365117073, -0.7442144155502319, 0.10370321571826935, 1.4542269706726074]",0,1.0,False,False,4.901
1,39,"[-0.05957551300525665, -0.5505074262619019, 0.13278774917125702, 1.1956615447998047]",1,1.0,False,False,3.9404
1,40,"[-0.07058566063642502, -0.7470746636390686, 0.1567009836435318, 1.5268417596817017]",0,1.0,False,False,2.9701
1,41,"[-0.08552715182304382, -0.943701982498169, 0.18723781406879425, 1.8640507459640503]",0,1.0,False,False,1.99
1,42,"[-0.10440119355916977, -0.7510603666305542, 0.22451883554458618, 1.634865641593933]",1,1.0,True,False,1.0
2,43,"[-0.037287864834070206, -0.1998957246541977, -0.012066667899489403, 0.33125513792037964]",0,1.0,False,False,12.2479
2,44,"[-0.04128577932715416, -0.39484384655952454, -0.005441564600914717, 0.6201085448265076]",0,1.0,False,False,11.3615
2,45,"[-0.04918265715241432, -0.19964632391929626, 0.00696060573682189, 0.3257167637348175]",1,1.0,False,False,10.4662
2,46,"[-0.053175583481788635, -0.3948667049407959, 0.01347494125366211, 0.620586633682251]",0,1.0,False,False,9.5618
2,47,"[-0.06107291579246521, -0.5901741981506348, 0.025886673480272293, 0.9174827933311462]",0,1.0,False,False,8.6483
2,48,"[-0.07287640124559402, -0.7856364250183105, 0.044236328452825546, 1.218187689781189]",0,1.0,False,False,7.7255
2,49,"[-0.0885891318321228, -0.5911118388175964, 0.06860008090734482, 0.9396875500679016]",1,1.0,False,False,6.7935
2,50,"[-0.10041136294603348, -0.7870880961418152, 0.08739383518695831, 1.2531131505966187]",0,1.0,False,False,5.852
2,51,"[-0.11615312844514847, -0.9832140207290649, 0.11245609819889069, 1.5718402862548828]",0,1.0,False,False,4.901
2,52,"[-0.13581740856170654, -0.7895991802215576, 0.14389289915561676, 1.3162449598312378]",1,1.0,False,False,3.9404
2,53,"[-0.1516093909740448, -0.5965605974197388, 0.17021781206130981, 1.0718382596969604]",1,1.0,False,False,2.9701
2,54,"[-0.16354060173034668, -0.793473482131958, 0.19165457785129547, 1.4127416610717773]",0,1.0,False,False,1.99
2,55,"[-0.17941007018089294, -0.6011729836463928, 0.2199093997478485, 1.1855744123458862]",1,1.0,True,False,1.0
3,56,"[0.015032035298645496, -0.16276419162750244, -0.0062041026540100574, 0.26361608505249023]",0,1.0,False,False,24.5281
3,57,"[0.011776751838624477, 0.032445769757032394, -0.0009317807271145284, -0.03101719357073307]",1,1.0,False,False,23.7657
3,58,"[0.01242566667497158, -0.1626628041267395, -0.0015521246241405606, 0.2613716125488281]",0,1.0,False,False,22.9957
3,59,"[0.0091724107041955, 0.03248126432299614, 0.0036753073800355196, -0.03180048242211342]",1,1.0,False,False,22.2179
3,60,"[0.009822036139667034, 0.22755031287670135, 0.0030392976477742195, -0.32332155108451843]",1,1.0,False,False,21.4322
3,61,"[0.01437304262071848, 0.42262884974479675, -0.00342713319696486, -0.6150444746017456]",1,1.0,False,False,20.6386
3,62,"[0.02282561920583248, 0.22755496203899384, -0.015728022903203964, -0.32344290614128113]",0,1.0,False,False,19.8369
3,63,"[0.027376718819141388, 0.032660458236932755, -0.022196879610419273, -0.03576115146279335]",0,1.0,False,False,19.0272
3,64,"[0.028029927983880043, 0.22809356451034546, -0.022912103682756424, -0.3353639543056488]",1,1.0,False,False,18.2093
3,65,"[0.0325917974114418, 0.42353397607803345, -0.029619382694363594, -0.6351832151412964]",1,1.0,False,False,17.3831
3,66,"[0.041062477976083755, 0.22883740067481995, -0.042323045432567596, -0.3519732356071472]",0,1.0,False,False,16.5486
3,67,"[0.04563922807574272, 0.03434206172823906, -0.049362510442733765, -0.07293075323104858]",0,1.0,False,False,15.7057
3,68,"[0.04632606729865074, -0.16003873944282532, -0.050821125507354736, 0.20377860963344574]",0,1.0,False,False,14.8542
3,69,"[0.04312529414892197, 0.03577177971601486, -0.046745553612709045, -0.1044929251074791]",1,1.0,False,False,13.9942
3,70,"[0.04384072870016098, -0.15865018963813782, -0.04883541166782379, 0.17308326065540314]",0,1.0,False,False,13.1254
3,71,"[0.04066772386431694, 0.03713545948266983, -0.04537374898791313, -0.13459698855876923]",1,1.0,False,False,12.2479
3,72,"[0.04141043499112129, 0.2328769713640213, -0.04806568846106529, -0.44124236702919006]",1,1.0,False,False,11.3615
3,73,"[0.046067975461483, 0.4286450147628784, -0.05689053609967232, -0.7486811280250549]",1,1.0,False,False,10.4662
3,74,"[0.05464087426662445, 0.6245036721229553, -0.07186415791511536, -1.0587105751037598]",1,1.0,False,False,9.5618
3,75,"[0.06713094562292099, 0.4304035007953644, -0.09303837269544601, -0.789421796798706]",0,1.0,False,False,8.6483
3,76,"[0.07573901861906052, 0.6266716122627258, -0.10882680863142014, -1.1098644733428955]",1,1.0,False,False,7.7255
3,77,"[0.08827245235443115, 0.43313467502593994, -0.1310240924358368, -0.8532084226608276]",0,1.0,False,False,6.7935
3,78,"[0.09693514555692673, 0.24001877009868622, -0.1480882614850998, -0.6044284105300903]",0,1.0,False,False,5.852
3,79,"[0.10173551738262177, 0.04724419116973877, -0.1601768285036087, -0.36181044578552246]",0,1.0,False,False,4.901
3,80,"[0.10268040001392365, 0.24423718452453613, -0.16741304099559784, -0.7004082798957825]",1,1.0,False,False,3.9404
3,81,"[0.10756514966487885, 0.4412354826927185, -0.1814212054014206, -1.040764331817627]",1,1.0,False,False,2.9701
3,82,"[0.11638985574245453, 0.2489260733127594, -0.20223648846149445, -0.8100801110267639]",0,1.0,False,False,1.99
3,83,"[0.12136837840080261, 0.05706385150551796, -0.21843808889389038, -0.5872051119804382]",0,1.0,True,False,1.0
4,84,"[0.004586113151162863, -0.23919439315795898, 0.03302644565701485, 0.31600382924079895]",0,1.0,False,False,21.4322
4,85,"[-0.0001977747742785141, -0.4347708225250244, 0.03934652358293533, 0.6189165115356445]",0,1.0,False,False,20.6386
4,86,"[-0.008893191814422607, -0.24021990597248077, 0.05172485113143921, 0.33888089656829834]",1,1.0,False,False,19.8369
4,87,"[-0.013697589747607708, -0.045870669186115265, 0.05850246921181679, 0.06294723600149155]",1,1.0,False,False,19.0272
