Episode,Experience,State,Action,Reward,Terminated,Truncated,Return
0,0,386,5,-10,False,False,-276.1436
0,1,386,2,-1,False,False,-268.8319
0,2,366,3,-1,False,False,-270.5373
0,3,266,1,-1,False,False,-272.2599
0,4,266,5,-10,False,False,-273.9999
0,5,166,1,-1,False,False,-266.6665
0,6,166,5,-10,False,False,-268.35
0,7,146,3,-1,False,False,-260.9596
0,8,146,3,-1,False,False,-262.5855
0,9,46,1,-1,False,False,-264.2278
0,10,46,1,-1,False,False,-265.8866
0,11,46,5,-10,False,False,-267.5622
0,12,146,0,-1,False,False,-260.1639
0,13,146,5,-10,False,False,-261.7817
0,14,46,1,-1,False,False,-254.325
0,15,46,1,-1,False,False,-255.8838
0,16,146,0,-1,False,False,-257.4584
0,17,46,1,-1,False,False,-259.0489
0,18,46,3,-1,False,False,-260.6554
0,19,46,5,-10,False,False,-262.2782
0,20,66,2,-1,False,False,-254.8265
0,21,66,1,-1,False,False,-256.3904
0,22,46,3,-1,False,False,-257.9701
0,23,46,4,-10,False,False,-259.5657
0,24,46,3,-1,False,False,-252.0866
0,25,46,3,-1,False,False,-253.6228
0,26,46,4,-10,False,False,-255.1746
0,27,46,4,-10,False,False,-247.6511
0,28,46,5,-10,False,False,-240.0516
0,29,46,4,-10,False,False,-232.3753
0,30,146,0,-1,False,False,-224.6216
0,31,46,1,-1,False,False,-225.8804
0,32,46,4,-10,False,False,-227.1519
0,33,46,3,-1,False,False,-219.3453
0,34,46,3,-1,False,False,-220.5508
0,35,46,4,-10,False,False,-221.7685
0,36,46,1,-1,False,False,-213.9076
0,37,46,1,-1,False,False,-215.0582
0,38,46,1,-1,False,False,-216.2204
0,39,46,4,-10,False,False,-217.3943
0,40,146,0,-1,False,False,-209.4892
0,41,246,0,-1,False,False,-210.5952
0,42,226,3,-1,False,False,-211.7123
0,43,206,3,-1,False,False,-212.8407
0,44,206,4,-10,False,False,-213.9805
0,45,206,4,-10,False,False,-206.0409
0,46,206,5,-10,False,False,-198.0211
0,47,306,0,-1,False,False,-189.9203
0,48,306,2,-1,False,False,-190.8286
0,49,206,1,-1,False,False,-191.7461
0,50,206,4,-10,False,False,-192.6728
0,51,306,0,-1,False,False,-184.518
0,52,306,5,-10,False,False,-185.3717
0,53,406,0,-1,False,False,-177.1431
0,54,406,4,-10,False,False,-177.9224
0,55,406,4,-10,False,False,-169.6186
0,56,406,4,-10,False,False,-161.2309
0,57,406,5,-10,False,False,-152.7584
0,58,406,2,-1,False,False,-144.2004
0,59,406,5,-10,False,False,-144.6469
0,60,406,0,-1,False,False,-136.007
0,61,406,4,-10,False,False,-136.3707
0,62,306,1,-1,False,False,-127.6472
0,63,406,0,-1,False,False,-127.9264
0,64,406,4,-10,False,False,-128.2085
0,65,406,0,-1,False,False,-119.4025
0,66,406,4,-10,False,False,-119.5985
0,67,406,2,-1,False,False,-110.7056
0,68,406,2,-1,False,False,-110.8137
0,69,406,0,-1,False,False,-110.923
0,70,406,5,-10,False,False,-111.0333
0,71,306,1,-1,False,False,-102.0538
0,72,306,3,-1,False,False,-102.0746
0,73,306,2,-1,False,False,-102.0955
0,74,306,3,-1,False,False,-102.1167
0,75,306,5,-10,False,False,-102.1381
0,76,306,4,-10,False,False,-93.0688
0,77,306,2,-1,False,False,-83.9078
0,78,406,0,-1,False,False,-83.7453
0,79,406,3,-1,False,False,-83.5811
0,80,406,2,-1,False,False,-83.4153
0,81,406,2,-1,False,False,-83.2477
0,82,406,0,-1,False,False,-83.0785
0,83,406,4,-10,False,False,-82.9076
0,84,406,5,-10,False,False,-73.644
0,85,406,4,-10,False,False,-64.2869
0,86,306,1,-1,False,False,-54.8353
0,87,306,2,-1,False,False,-54.379
0,88,306,2,-1,False,False,-53.9182
0,89,306,5,-10,False,False,-53.4528
0,90,206,1,-1,False,False,-43.8917
0,91,106,1,-1,False,False,-43.3249
0,92,106,5,-10,False,False,-42.7524
0,93,106,3,-1,False,False,-33.0833
0,94,106,4,-10,False,False,-32.4073
0,95,106,5,-10,False,False,-22.6337
0,96,206,0,-1,False,False,-12.7613
0,97,106,1,-1,False,False,-11.8801
0,98,106,4,-10,False,False,-10.99
0,99,106,3,-1,False,False,-1.0
